date,open,high,low,close,volume
2021-05-14,194.469806,197.623136,190.153143,196.579803,100112668
2021-05-17,191.850841,196.57647,187.06648,192.276474,97171177
2021-05-18,189.333144,198.749801,187.793146,192.623141,110491811
2021-05-19,184.183149,188.736478,182.326484,187.819812,118735302.99999999
2021-05-20,191.666475,196.283137,190.356476,195.593138,92463449
2021-05-21,198.703135,198.893134,193.33314,193.626473,78091863
2021-05-24,193.866473,204.826462,191.216475,202.146465,103674369.99999999
2021-05-25,202.436464,204.663129,198.569801,201.563132,84017883
2021-05-26,202.519797,208.723125,200.4998,206.37646,85918000
2021-05-27,206.74646,210.376456,205.403128,210.283123,79111858
2021-05-28,209.499791,211.863121,207.459793,208.406458,68211182
2021-06-01,209.266457,211.266455,206.849793,207.966459,54254724
2021-06-02,206.709793,207.786459,199.713134,201.706465,69908406
2021-06-03,200.599799,201.516465,190.406476,190.946476,90335769
2021-06-04,193.236473,200.203133,192.399808,199.683134,72110760
2021-06-07,197.274803,203.33313,194.293139,201.709798,67631113
2021-06-08,207.669792,207.696459,198.499802,201.196465,78160293
2021-06-09,200.723133,203.929796,199.209834,199.593134,49753747
2021-06-10,201.293132,205.529794,200.166466,203.37313,71758889
2021-06-11,203.409797,204.186462,200.506466,203.296463,48615957
2021-06-14,204.076463,208.496458,203.059797,205.896461,61272009.99999999
2021-06-15,205.563128,205.596461,199.409801,199.786467,53292487.99999999
2021-06-16,199.178134,202.83313,197.833136,201.623132,66432446.99999999
2021-06-17,200.629066,207.15646,200.446466,205.533128,68104118
2021-06-18,204.456462,209.449791,203.933129,207.769792,73682788
2021-06-21,208.159792,210.463123,202.959797,206.943126,74438297
2021-06-22,206.083127,209.52289,205.166462,207.903125,57476733
2021-06-23,210.666456,219.067781,210.013123,218.856448,93297777
2021-06-24,224.996442,232.539767,222.536444,226.60644,137947295
2021-06-25,229.85977,231.269769,222.899777,223.956443,97490218
2021-06-28,223.879776,231.566402,223.439777,229.573104,64884541
2021-06-29,228.216438,229.169737,225.296441,226.919773,52143991
2021-06-30,226.589773,230.936436,226.046441,226.56644,56774642
2021-07-01,227.973105,229.329771,224.266442,225.973107,55903621
2021-07-02,226.32644,233.3331,224.419776,226.299774,81292203
2021-07-06,227.236939,227.999772,217.133183,219.85978,69853419
2021-07-07,221.423112,221.899778,212.773121,214.883118,56375936
2021-07-08,209.456457,218.143115,206.819793,217.603116,68320016
2021-07-09,217.728116,219.636447,214.896452,218.983114,54421698.00000001
2021-07-12,220.733113,229.079771,220.720113,228.566438,77781203
2021-07-13,228.773105,231.093102,222.098378,222.846444,62898338.00000001
2021-07-14,223.58311,226.203074,217.613116,217.793116,64923633.99999999
2021-07-15,219.463114,222.046445,212.626454,216.86645,60628773.00000001
2021-07-16,218.226448,218.899748,214.066453,214.739785,49112959
2021-07-19,209.963123,215.733084,207.09646,215.406451,63891333
2021-07-20,217.329783,220.796979,213.50012,220.166446,46461427
2021-07-21,219.86978,221.619745,216.76315,218.429782,41860055
2021-07-22,218.814048,220.723113,214.866485,216.419784,45317226
2021-07-23,215.453118,216.26645,212.433154,214.459786,43814875
2021-07-26,216.989783,222.733077,215.703118,219.206447,76009744
2021-07-27,221.133112,222.166444,209.079791,214.926452,98439968
2021-07-28,215.664784,218.323082,213.133154,215.659784,48019836
2021-07-29,216.59645,227.896439,216.26645,225.783108,91184002
2021-07-30,223.919109,232.509767,222.999777,229.066438,88969321
2021-08-02,233.3331,242.313091,232.799767,236.55643,100847395
2021-08-03,239.666427,240.883092,233.669766,236.579763,64860823
2021-08-04,236.999763,241.633092,236.309764,236.973096,51007992
2021-08-05,238.666428,240.316393,237.13643,238.209762,38758949
2021-08-06,237.299763,238.776428,232.543101,233.0331,46869193
2021-08-09,236.723097,239.676427,235.043098,237.919762,44146091
2021-08-10,237.996429,238.863094,233.959766,236.663097,40296955
2021-08-11,237.569762,238.393095,234.736432,235.939764,29401703
2021-08-12,235.446431,240.933092,233.1331,240.749759,53045111
2021-08-13,241.236425,243.299757,238.113095,239.056428,50194451
2021-08-16,235.023098,236.499763,225.466441,228.723105,69309978
2021-08-17,224.219776,224.859775,216.279784,221.903111,71163908
2021-08-18,223.249077,231.923101,223.116444,229.663104,61048185.99999999
2021-08-19,226.069774,228.849771,222.529777,224.489776,42940500
2021-08-20,227.616439,230.709736,224.566442,226.753107,44525639
2021-08-23,228.480438,237.376396,226.916606,235.433098,60794636.99999999
2021-08-24,236.893096,238.406428,234.213099,236.163097,39249252
2021-08-25,235.676431,238.989761,234.666432,237.06643,37936723
2021-08-26,236.103097,238.466428,232.539801,233.719766,39642915
2021-08-27,234.999765,238.333095,234.033133,237.306429,41501330
2021-08-30,238.238095,243.666423,237.576429,243.636423,55812715.00000001
2021-08-31,244.333089,246.79642,242.146425,245.239755,62566370.00000001
2021-09-01,244.693089,247.329753,243.756456,244.696422,39613044
2021-09-02,244.833088,246.989753,243.51309,244.129756,38390255
2021-09-03,244.082889,244.666422,241.399759,244.523089,45813180
2021-09-07,246.66642,253.399747,246.419754,250.973082,60119535
2021-09-08,253.859746,254.816412,246.924186,251.289749,56379164
2021-09-09,251.136416,254.033079,250.543116,251.619748,42233235
2021-09-10,253.199747,254.203079,244.839788,245.423088,45552555
2021-09-13,246.737853,248.259752,236.283097,247.666419,68857514
2021-09-14,247.523086,251.489749,245.466421,248.163085,55574698.00000001
2021-09-15,248.333085,252.286414,246.119754,251.943081,46073101
2021-09-16,250.943082,252.969747,249.203084,252.329748,41770220
2021-09-17,252.383081,253.679746,249.99975,253.16308,84612612
2021-09-20,244.852322,247.333086,239.541394,243.389757,74273030
2021-09-21,244.929755,248.246385,243.479757,246.459754,48992217
2021-09-22,247.841852,251.223049,246.373087,250.646416,45378861
2021-09-23,251.666415,252.733081,249.306417,251.213082,35842616
2021-09-24,248.629751,258.266408,248.186418,258.129742,64119130
2021-09-27,257.706409,266.333067,256.43641,263.786403,84212055
2021-09-28,262.399738,265.213068,255.393111,259.186407,76144342
2021-09-29,259.933073,264.499736,256.893076,260.436406,62828693
2021-09-30,260.333073,263.043237,258.333075,258.493075,53867936
2021-10-01,259.466407,260.25974,254.529745,258.406408,51094293
2021-10-04,265.499735,268.989698,258.706408,260.509739,91450114
2021-10-05,261.598472,265.769734,258.066409,260.196406,55297930
2021-10-06,258.733075,262.219738,257.739742,260.916406,43898347
2021-10-07,261.819738,268.333065,261.126406,264.536402,57587402.99999999
2021-10-08,265.403068,265.459735,260.303073,261.829738,50215862
2021-10-11,262.549737,267.079733,261.833071,263.979736,42601008
2021-10-12,266.9764,270.773063,265.523068,268.573065,66060186
2021-10-13,270.156397,271.803062,268.593065,270.35973,42360267
2021-10-14,271.829728,273.416393,271.116429,272.773061,36741546
2021-10-15,274.579192,281.069719,274.116393,281.009719,56773757
2021-10-18,283.929716,291.753042,283.82305,290.036377,72621804
2021-10-19,292.509707,292.649707,287.503046,288.089712,52143436
2021-10-20,288.449712,289.82971,285.793048,288.599711,42096198
2021-10-21,285.333048,299.9997,285.167915,297.999702,94444456
2021-10-22,298.499701,303.33303,296.98637,303.226363,68642573
2021-10-25,316.843016,348.339652,314.733019,341.619658,188556485
2021-10-26,341.562992,364.979635,333.813,339.476327,187245091
2021-10-27,346.552987,356.959643,343.59299,345.952987,115579492.00000001
2021-10-28,356.101311,360.332973,351.399649,359.012974,81639600
2021-10-29,360.619639,371.736295,357.734642,371.332962,89755340
2021-11-01,381.666285,403.249597,372.886294,402.86293,168146316
2021-11-02,386.45128,402.86293,381.999618,390.666276,128213518.99999999
2021-11-03,392.442941,405.129595,384.206282,404.619595,103885659.99999999
2021-11-04,411.469589,414.496252,405.666261,409.96959,76192306
2021-11-05,409.332924,413.289587,402.666264,407.362926,64886499.99999999
2021-11-08,383.261283,398.999601,377.666289,387.646279,100337245
2021-11-09,391.199609,391.499608,337.172996,341.166326,177317685
2021-11-10,336.802997,359.366307,329.103004,355.982977,128408294
2021-11-11,367.589632,368.322965,351.559648,354.502979,67189771
2021-11-12,349.166318,351.499649,339.732994,344.472989,76719520
2021-11-15,339.209661,343.992989,326.199674,337.796329,104327050.99999999
2021-11-16,334.436332,352.399614,334.059666,351.576315,79627156
2021-11-17,354.502979,373.21296,351.832981,363.00297,94336189
2021-11-18,368.849631,370.666296,358.339642,365.459635,62696852
2021-11-19,366.289634,379.57292,364.232969,379.019621,64926837.99999999
2021-11-22,387.442946,400.649599,377.476289,385.622948,99217626
2021-11-23,389.169611,393.499573,354.232979,369.676297,108515208
2021-11-24,360.12964,377.589622,353.999646,371.999628,67680781
2021-11-26,366.489634,369.593864,360.332973,360.639639,35042705
2021-11-29,366.9963,380.889619,366.729633,378.996288,58393459
2021-11-30,381.456285,389.332944,372.666294,381.586285,81276195
2021-12-01,386.897946,390.946242,363.586303,364.999635,68804162
2021-12-02,366.352967,370.999629,352.216314,361.532972,73114942
2021-12-03,361.596305,363.524736,333.403,338.322995,92322077
2021-12-06,333.836333,340.546326,316.833017,336.33633,81663192
2021-12-07,348.066319,352.557614,342.269658,350.582983,56084627
2021-12-08,350.902982,357.459643,344.333022,356.319644,41906411
2021-12-09,353.546313,354.162979,334.119666,334.599665,59438555
2021-12-10,336.249664,340.326226,327.509672,339.009661,59664425
2021-12-13,333.696333,334.999665,317.139683,322.136345,78595584
2021-12-14,314.999685,322.136345,309.99969,319.503014,70806340
2021-12-15,317.736349,326.24964,309.416391,325.329675,75169305
2021-12-16,331.499669,331.659668,307.283026,308.973024,82771531
2021-12-17,304.923028,320.219646,303.013064,310.856356,100880362
2021-12-20,303.566363,307.229159,297.796369,299.9797,56480069
2021-12-21,305.623028,313.166353,295.373038,312.84302,71517986
2021-12-22,321.886345,338.552961,319.016348,336.289664,93634179
2021-12-23,335.599664,357.658542,332.519667,355.666311,92713379
2021-12-27,357.889642,372.332961,356.90471,364.646302,71145890
2021-12-28,369.82963,372.999594,359.472974,362.822971,60323967
2021-12-29,366.212967,367.999632,354.712979,362.062971,56154101
2021-12-30,353.776313,365.182968,351.049649,356.779643,47040986
2021-12-31,357.814442,360.666273,351.529648,352.259648,40733665
2022-01-03,382.582951,400.356266,378.679621,399.926267,104686151
2022-01-04,396.51627,402.666264,374.349626,383.196283,100248358
2022-01-05,382.216284,390.112943,360.33634,362.706304,80119877
2022-01-06,358.999641,362.666304,340.166326,354.899645,90336564
2022-01-07,360.122973,360.309606,336.66633,342.319658,84164832
2022-01-10,333.333,353.03298,326.66634,352.706314,91814968
2022-01-11,351.222982,358.616308,346.272987,354.799645,66063275.99999999
2022-01-12,359.616307,371.612962,357.529676,368.739631,83739098
2022-01-13,369.687964,371.866295,342.179358,343.852989,97209889
2022-01-14,339.95966,350.666316,337.792596,349.86965,72924483
2022-01-18,342.201324,356.92961,338.686328,343.50299,66989475
2022-01-19,347.234653,351.556282,331.666335,331.883001,75442563
2022-01-20,336.57633,347.219653,331.333002,332.089668,70488814
2022-01-21,332.113001,334.849665,313.499687,314.633019,103416130.00000001
2022-01-24,301.586365,311.170722,283.82305,309.99969,152375294
2022-01-25,304.733029,317.08635,301.069699,306.133027,86595992
2022-01-26,317.476349,329.229671,301.999698,312.469688,104867387
2022-01-27,311.119689,311.796355,276.333057,276.36639,147109716
2022-01-28,277.186389,285.833047,264.003069,282.116385,134789084
2022-01-31,290.903042,312.663021,287.349713,312.239688,104436199.99999999
2022-02-01,311.736355,314.566352,301.666365,310.416356,73138411
2022-02-02,309.393024,310.49969,296.469704,301.886365,66793100.99999999
2022-02-03,293.999706,312.333021,293.506373,297.04637,78855636
2022-02-04,299.073034,312.166354,293.72304,307.773026,73625539
2022-02-07,307.929692,315.923017,300.902666,302.446364,60994524
2022-02-08,301.843031,308.762991,298.266368,307.333026,50729063
2022-02-09,311.666355,315.422985,306.66636,310.666356,52259596
2022-02-10,302.789697,314.603019,298.899701,301.516365,66126897
2022-02-11,303.209697,305.319695,283.566383,286.66638,79645948
2022-02-14,287.189713,299.626334,284.383049,291.919708,67756483
2022-02-15,299.9997,307.666359,297.792169,307.476359,57649599
2022-02-16,304.683029,308.809658,300.403033,307.796359,51294447
2022-02-17,304.419696,306.166327,291.366375,292.116375,55178473
2022-02-18,295.333038,295.623038,279.203054,285.659714,68501909
2022-02-22,278.043055,285.577648,267.0331,273.843059,83288285
2022-02-23,276.809723,278.432955,253.519746,254.679745,95257103
2022-02-24,233.4631,267.493066,233.3331,266.923066,135322410
2022-02-25,269.743064,273.166393,260.799906,269.956397,76067839
2022-02-28,271.669728,292.286374,271.568895,290.143043,99006966
2022-03-01,289.893043,296.62637,284.593049,288.123045,74766935
2022-03-02,290.709709,295.493038,281.423752,293.296373,74643512
2022-03-03,292.92304,295.479371,277.533089,279.763054,61623568
2022-03-04,283.03305,285.216381,275.053358,279.429721,67179928
2022-03-07,285.433048,288.713045,268.189732,268.193065,72494244
2022-03-08,265.176401,283.329717,260.723073,274.799725,80399186
2022-03-09,279.826387,286.853046,277.336389,286.323047,59184038
2022-03-10,283.816383,284.816382,270.119763,279.433054,58648702
2022-03-11,280.065387,281.267052,264.589735,265.116402,67037233
2022-03-14,260.203073,266.899733,252.013081,255.456411,71152334
2022-03-15,258.423075,268.523065,252.189748,267.296399,66841209
2022-03-16,269.666397,280.666386,267.419766,280.076387,84028905
2022-03-17,276.99639,291.666375,275.238991,290.533043,66583038
2022-03-18,291.496375,302.616364,289.129711,301.796365,100414291
2022-03-21,304.993028,314.283019,302.363031,307.053026,81981729
2022-03-22,309.99969,332.619667,307.249693,331.326335,105868662
2022-03-23,326.64634,346.899653,325.466341,333.036334,120676269
2022-03-24,336.57633,341.496325,329.59967,337.972995,68920946
2022-03-25,335.999664,340.599626,332.439701,336.879663,62031608.00000001
2022-03-28,355.032978,365.959601,351.199649,363.946303,102506181
2022-03-29,369.329631,371.589628,357.702976,366.522967,73614892
2022-03-30,363.72297,371.316295,361.332972,364.662969,59865065
2022-03-31,364.856302,367.712932,358.879974,359.199641,48992805
2022-04-01,360.382973,364.916302,355.546311,361.529638,54263277
2022-04-04,363.126304,383.30295,357.509642,381.816285,82177783
2022-04-05,378.766288,384.289616,362.432971,363.75297,80075099
2022-04-06,357.822976,359.666307,342.566324,348.586318,89348624
2022-04-07,350.796316,358.862974,340.513026,352.419648,79447138
2022-04-08,347.736319,349.479651,340.811326,341.829658,55013742.99999999
2022-04-11,326.799673,336.155697,324.879675,325.309675,59357264
2022-04-12,332.546334,340.397026,325.533041,328.983004,65976160.99999999
2022-04-13,327.024673,342.079658,324.365342,340.789659,55121266
2022-04-14,333.096334,337.569629,327.396339,328.333005,58422463
2022-04-18,329.676337,338.306328,324.469676,334.762999,51715272
2022-04-19,335.019665,344.979655,331.774668,342.716324,49847881
2022-04-20,343.33299,344.666322,325.083042,325.733008,70711396
2022-04-21,358.242975,364.072969,332.138001,336.259664,105416442
2022-04-22,338.302995,344.949655,331.333035,335.016332,69696627
2022-04-25,326.323007,336.20633,325.099675,332.673001,68341403
2022-04-26,331.809668,333.333,291.666375,292.139708,136133803
