strategy,net_credit_per_sh,mean_pnl,median_pnl,win_rate,worst,best,beat_shares_rate,mean_edge_vs_shares,note
shares_only,0.00,546,-786,0.40,-6215,9333,0.35,-0,
CC 370,12.96,-274,510,0.65,-4920,1339,0.65,-820,
CC 375,10.85,-284,299,0.65,-5130,1628,0.65,-831,
CC 380,9.03,-289,117,0.55,-5312,1946,0.70,-835,
CC 385,7.47,-269,-39,0.50,-5468,2290,0.70,-816,
CC 390,6.15,-232,-171,0.45,-5600,2658,0.75,-778,
CC 395,5.04,-194,-282,0.45,-5711,3047,0.75,-740,
CC 400,4.12,-161,-374,0.45,-5803,3455,0.75,-707,
CC 405,3.36,-112,-450,0.45,-5879,3879,0.75,-658,
CC 410,2.73,-50,-512,0.45,-5942,4316,0.80,-597,
CC 415,2.22,-2,-563,0.45,-5993,4765,0.80,-548,
CC 420,1.81,57,-605,0.45,-6034,5224,0.80,-489,
CC 425,1.47,123,-639,0.45,-6068,5690,0.80,-423,
CC 430,1.20,196,-666,0.45,-6095,6163,0.80,-350,
CC 435,0.98,274,-688,0.45,-6117,6641,0.80,-272,
CC 370 / +C 375,1.66,513,-620,0.45,-6049,8999,0.60,-34,
CC 370 / +C 380,3.56,524,-430,0.45,-5859,8689,0.60,-22,
CC 370 / +C 385,5.18,511,-268,0.45,-5697,8351,0.60,-35,
CC 370 / +C 390,6.56,479,-130,0.45,-5560,7988,0.65,-67,
CC 370 / +C 395,7.71,445,-15,0.50,-5444,7603,0.65,-101,
CC 370 / +C 400,8.67,416,81,0.55,-5349,7199,0.65,-130,
CC 370 / +C 405,9.46,371,160,0.55,-5269,6779,0.65,-176,
CC 370 / +C 410,10.11,312,225,0.65,-5204,6344,0.65,-235,
CC 370 / +C 415,10.64,265,278,0.65,-5151,5897,0.65,-281,
CC 370 / +C 420,11.07,208,322,0.65,-5108,5440,0.65,-338,
CC 370 / +C 425,11.42,143,357,0.65,-5073,4975,0.65,-403,
CC 370 / +C 430,11.71,72,385,0.65,-5045,4503,0.65,-475,
CC 370 / +C 435,11.94,-6,408,0.65,-5022,4026,0.65,-552,
